72,MARC0,83,30324,20,4,59,,f,1244,-21,Black
73,metrolog,6631,4456455,3022,135,3474,2014-11-27 22:09:55.474,f,1627,11,White
74,Ben_Dover,0,0,0,0,0,,f,1865,6,Black
75,Jonathan_52,0,0,0,0,0,,f,1500,-169,White
76,Milligan,366,214962,153,4,209,,f,1290,-14,Black
77,Sig,744,593766,631,26,87,2016-06-05 16:37:13.02,f,1907,6,Black
78,sonie,3120,576679,1602,72,1446,2013-07-04 10:53:25.329,f,1786,13,Black
79,Maroz,0,0,0,0,0,,f,1525,14,Black
80,1000,8903,1505359,3981,185,4733,,f,1646,3,Black
81,schutzstaffel,0,0,0,0,0,,f,1871,6,White
82,Rodney,3219,1606331,1610,62,1545,2016-07-31 09:41:05.216,f,1514,12,White
83,neto391994,3262,1048139,1442,75,1741,2022-09-01 19:35:32.233,f,1550,-22,Black
84,Gardo,134,17737,65,6,63,,f,1634,-7,Black
85,ricodelacasita,0,0,0,0,0,,f,1749,-9,White
86,maslick,62609,13262471,40203,2255,20140,2024-11-21 12:21:29.507,f,1609,30,Black
87,nujabes,3779,1012951,1905,69,1805,2014-10-27 12:39:22.758,f,1731,6,White
88,Beibus,36677,10374176,16819,1280,18575,2024-11-22 00:05:04.128,f,1621,-9,White
89,Carroll,0,0,0,0,0,,f,1661,28,Black
90,tarasss,11910,7806637,3825,221,7851,2024-11-20 16:24:37.603,f,1499,-3,White
91,Mariss,568,319197,338,18,212,,f,1895,3,Black
92,joecasatro,303,167228,99,2,200,,f,1081,,White
93,FifthCategory,70551,22937024,38214,2949,28554,2024-07-26 09:08:18.155,f,1888,-14,White
94,HeyPepito,92,26960,52,1,39,,f,1771,35,Black
95,NotGoodAtThis,49,0,25,2,22,,f,1576,-94,Black
96,giao,1370,659431,507,34,828,2014-09-24 13:51:24.589,f,1431,-5,Black
97,excel,0,0,0,0,0,,f,1646,11,White
98,rennigeb,0,0,0,0,0,,f,1510,-4,White
99,zanella,686,344175,367,28,291,,f,1805,9,Black
100,Batalha,3545,1233173,1362,85,2098,2024-03-30 08:32:47.901,f,1244,-1,White
101,chess345,389,128725,187,13,188,2015-01-13 11:42:12.703,f,1857,6,Black
102,t4nk,0,0,0,0,0,,f,1586,-9,Black
103,sanuch111,12489,4754864,6043,649,5793,2024-11-21 13:04:17.386,f,1576,-11,Black
104,Kyklades,2324,597172,1131,68,1118,2014-04-04 19:00:05.628,f,1577,17,White
105,djarfur,18660,4813301,9364,495,8791,2019-06-19 13:28:40.814,f,1516,7,Black
106,Papachaco,2241,771465,1044,26,1165,2013-12-24 17:54:27.72,f,1603,6,White
107,angrom,0,0,0,0,0,,f,1527,23,Black
